C01 TITLE: OCf daily mean data
C02 FILE NAME: badl1.improve.as.cs.ocf.nl.da.dat
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 1006
C05 HEADER LINES: 32
C06 DATA VERSION: 
C07 STATION NAME: Badlands NP
C08 STATION CATEGORY: global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: US
C11 CONTRIBUTOR: improve
C12 LATITUDE: 43.74350
C13 LONGITUDE: -101.94120
C14 ALTITUDE: 736
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: nmhyslop@ucdavis.edu
C18 PARAMETER: OCf
C19 COVERING PERIOD: 2010-01-02 2017-12-30
C20 TIME INTERVAL: daily
C21 MEASUREMENT UNIT: ug/m^3 LC
C22 MEASUREMENT METHOD: 
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: 
C26 CREDIT FOR USE: This is a formal notification for data users. 'For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication.'
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME       DATA    ND      SD     F CS       REM
2010-01-05 00:00 9999-99-99 99:99      0.483 -9999 -999.99     8 -9 -99999999
2010-01-08 00:00 9999-99-99 99:99      0.538 -9999 -999.99     8 -9 -99999999
2010-01-11 00:00 9999-99-99 99:99      0.441 -9999 -999.99     8 -9 -99999999
2010-01-14 00:00 9999-99-99 99:99      0.481 -9999 -999.99     8 -9 -99999999
2010-01-17 00:00 9999-99-99 99:99      0.377 -9999 -999.99     8 -9 -99999999
2010-01-20 00:00 9999-99-99 99:99      0.553 -9999 -999.99     8 -9 -99999999
2010-01-23 00:00 9999-99-99 99:99      0.113 -9999 -999.99     8 -9 -99999999
2010-01-26 00:00 9999-99-99 99:99      0.038 -9999 -999.99     8 -9 -99999999
2010-01-29 00:00 9999-99-99 99:99      0.416 -9999 -999.99     8 -9 -99999999
2010-02-01 00:00 9999-99-99 99:99      0.528 -9999 -999.99     8 -9 -99999999
2010-02-04 00:00 9999-99-99 99:99      0.757 -9999 -999.99     8 -9 -99999999
2010-02-07 00:00 9999-99-99 99:99      0.677 -9999 -999.99     8 -9 -99999999
2010-02-10 00:00 9999-99-99 99:99      0.865 -9999 -999.99     8 -9 -99999999
2010-02-13 00:00 9999-99-99 99:99      0.434 -9999 -999.99     8 -9 -99999999
2010-02-16 00:00 9999-99-99 99:99      0.085 -9999 -999.99     8 -9 -99999999
2010-02-19 00:00 9999-99-99 99:99      0.328 -9999 -999.99     8 -9 -99999999
2010-02-22 00:00 9999-99-99 99:99      0.421 -9999 -999.99     8 -9 -99999999
2010-02-25 00:00 9999-99-99 99:99      0.462 -9999 -999.99     8 -9 -99999999
2010-02-28 00:00 9999-99-99 99:99      0.527 -9999 -999.99     8 -9 -99999999
2010-03-03 00:00 9999-99-99 99:99      0.292 -9999 -999.99     8 -9 -99999999
2010-03-06 00:00 9999-99-99 99:99      0.777 -9999 -999.99     8 -9 -99999999
2010-03-09 00:00 9999-99-99 99:99      0.121 -9999 -999.99     8 -9 -99999999
2010-03-12 00:00 9999-99-99 99:99      0.321 -9999 -999.99     8 -9 -99999999
2010-03-15 00:00 9999-99-99 99:99      0.368 -9999 -999.99     8 -9 -99999999
2010-03-18 00:00 9999-99-99 99:99      0.653 -9999 -999.99     8 -9 -99999999
2010-03-21 00:00 9999-99-99 99:99      0.296 -9999 -999.99     8 -9 -99999999
2010-03-24 00:00 9999-99-99 99:99      0.393 -9999 -999.99     8 -9 -99999999
2010-03-27 00:00 9999-99-99 99:99      0.627 -9999 -999.99     8 -9 -99999999
2010-03-30 00:00 9999-99-99 99:99      0.388 -9999 -999.99     8 -9 -99999999
2010-04-02 00:00 9999-99-99 99:99      0.177 -9999 -999.99     8 -9 -99999999
2010-04-05 00:00 9999-99-99 99:99      0.355 -9999 -999.99     8 -9 -99999999
2010-04-08 00:00 9999-99-99 99:99      0.258 -9999 -999.99     8 -9 -99999999
2010-04-11 00:00 9999-99-99 99:99      1.708 -9999 -999.99     8 -9 -99999999
2010-04-14 00:00 9999-99-99 99:99      0.232 -9999 -999.99     8 -9 -99999999
2010-04-17 00:00 9999-99-99 99:99      0.247 -9999 -999.99     8 -9 -99999999
2010-04-20 00:00 9999-99-99 99:99      0.991 -9999 -999.99     8 -9 -99999999
2010-04-23 00:00 9999-99-99 99:99      1.113 -9999 -999.99     8 -9 -99999999
2010-04-26 00:00 9999-99-99 99:99      0.205 -9999 -999.99     8 -9 -99999999
2010-04-29 00:00 9999-99-99 99:99      0.261 -9999 -999.99     8 -9 -99999999
2010-05-02 00:00 9999-99-99 99:99      0.475 -9999 -999.99     8 -9 -99999999
2010-05-05 00:00 9999-99-99 99:99      0.114 -9999 -999.99     8 -9 -99999999
2010-05-08 00:00 9999-99-99 99:99      0.115 -9999 -999.99     8 -9 -99999999
2010-05-11 00:00 9999-99-99 99:99      0.353 -9999 -999.99     8 -9 -99999999
2010-05-14 00:00 9999-99-99 99:99      0.445 -9999 -999.99     8 -9 -99999999
2010-05-17 00:00 9999-99-99 99:99      0.345 -9999 -999.99     8 -9 -99999999
2010-05-20 00:00 9999-99-99 99:99      0.599 -9999 -999.99     8 -9 -99999999
2010-05-23 00:00 9999-99-99 99:99      0.283 -9999 -999.99     8 -9 -99999999
2010-05-26 00:00 9999-99-99 99:99      0.516 -9999 -999.99     8 -9 -99999999
2010-05-29 00:00 9999-99-99 99:99      0.749 -9999 -999.99     8 -9 -99999999
2010-06-01 00:00 9999-99-99 99:99      0.680 -9999 -999.99     8 -9 -99999999
2010-06-04 00:00 9999-99-99 99:99      0.469 -9999 -999.99     8 -9 -99999999
2010-06-07 00:00 9999-99-99 99:99      0.546 -9999 -999.99     8 -9 -99999999
2010-06-10 00:00 9999-99-99 99:99      0.774 -9999 -999.99     8 -9 -99999999
2010-06-13 00:00 9999-99-99 99:99      0.437 -9999 -999.99     8 -9 -99999999
2010-06-16 00:00 9999-99-99 99:99      1.326 -9999 -999.99     8 -9 -99999999
2010-06-19 00:00 9999-99-99 99:99      0.881 -9999 -999.99     8 -9 -99999999
2010-06-22 00:00 9999-99-99 99:99      1.301 -9999 -999.99     8 -9 -99999999
2010-06-25 00:00 9999-99-99 99:99      1.377 -9999 -999.99     8 -9 -99999999
2010-06-28 00:00 9999-99-99 99:99      1.073 -9999 -999.99     8 -9 -99999999
2010-07-01 00:00 9999-99-99 99:99      1.678 -9999 -999.99     8 -9 -99999999
2010-07-04 00:00 9999-99-99 99:99      0.405 -9999 -999.99     8 -9 -99999999
2010-07-07 00:00 9999-99-99 99:99      0.824 -9999 -999.99     8 -9 -99999999
2010-07-10 00:00 9999-99-99 99:99      0.980 -9999 -999.99     8 -9 -99999999
2010-07-13 00:00 9999-99-99 99:99      1.315 -9999 -999.99     8 -9 -99999999
2010-07-16 00:00 9999-99-99 99:99      1.069 -9999 -999.99     8 -9 -99999999
2010-07-19 00:00 9999-99-99 99:99      0.843 -9999 -999.99     8 -9 -99999999
2010-07-22 00:00 9999-99-99 99:99      0.968 -9999 -999.99     8 -9 -99999999
2010-07-25 00:00 9999-99-99 99:99      0.660 -9999 -999.99     8 -9 -99999999
2010-07-28 00:00 9999-99-99 99:99      1.205 -9999 -999.99     8 -9 -99999999
